Rotación;Edad;Viaje de Negocios;Departamento;Distancia_Casa;Educación;Campo_Educación;Satisfacción_Ambiental;Genero;Cargo;Satisfación_Laboral;Estado_Civil;Ingreso_Mensual;Trabajos_Anteriores;Horas_Extra;Porcentaje_aumento_salarial;Rendimiento_Laboral;Años_Experiencia;Capacitaciones;Equilibrio_Trabajo_Vida;Antigüedad;Antigüedad_Cargo;Años_ultima_promoción;Años_acargo_con_mismo_jefe
Si;35;Raramente;IyD;23;2;Ciencias;2;M;Director_Manofactura;3;Casado;5916;3;Si;13;3;8;1;3;1;0;0;1
No;43;No_Viaja;IyD;7;3;Salud;4;M;Investigador_Cientifico;4;Divorciado;2089;4;No;14;3;7;3;4;5;4;2;2
No;45;No_Viaja;IyD;2;2;Salud;1;M;Gerente;4;Casado;16792;9;No;23;4;22;1;3;20;8;11;8
No;37;Raramente;IyD;21;3;Ciencias;2;M;Investigador_Cientifico;1;Casado;3564;1;Si;12;3;8;3;2;8;7;1;7
No;35;Frecuentemente;IyD;2;3;Salud;2;F;Tecnico_Laboratorio;2;Soltero;4425;5;No;11;3;10;5;3;6;2;1;2
No;42;No_Viaja;IyD;21;2;Salud;3;F;Director_Manofactura;3;Divorciado;5265;2;No;16;3;11;5;3;5;3;0;2
No;38;Raramente;IyD;2;4;Ciencias;4;M;Director_Manofactura;3;Casado;6553;9;No;14;3;14;3;3;1;0;0;0
No;38;Raramente;IyD;29;3;Tecnicos;4;M;Director_Manofactura;4;Casado;6261;3;No;18;3;9;3;1;7;7;1;7
No;27;Frecuentemente;IyD;1;1;Tecnicos;3;M;Director_Manofactura;1;Casado;4298;5;No;19;3;6;1;3;2;2;2;0
No;49;No_Viaja;IyD;18;4;Ciencias;4;M;Director_Manofactura;4;Divorciado;6804;1;Si;15;3;7;0;3;7;7;1;7
No;34;Frecuentemente;IyD;10;4;Salud;4;M;Investigador_Cientifico;3;Divorciado;3815;1;Si;17;3;5;4;4;5;3;2;0
No;40;Raramente;IyD;19;2;Salud;3;M;Tecnico_Laboratorio;4;Casado;2741;8;Si;15;3;15;2;4;7;2;3;7
Si;38;Raramente;IyD;29;1;Salud;2;M;Representante_Salud;1;Casado;6673;7;Si;19;3;17;2;3;1;0;0;0
Si;29;Raramente;Ventas;27;3;Mercadeo;2;F;Ejecutivo_Ventas;4;Casado;7639;1;No;22;4;10;3;2;10;4;1;9
No;22;Raramente;IyD;5;3;Ciencias;4;M;Investigador_Cientifico;2;Divorciado;2328;1;Si;16;3;4;2;2;4;2;2;2
No;36;Frecuentemente;IyD;18;1;Salud;2;F;Tecnico_Laboratorio;4;Soltero;2153;1;No;13;3;8;2;3;8;1;1;7
No;40;No_Viaja;IyD;9;5;Ciencias;4;M;Representante_Salud;4;Casado;4876;9;No;14;3;5;5;1;3;2;0;2
No;46;Raramente;IyD;1;4;Salud;4;M;Representante_Salud;1;Divorciado;9396;7;No;16;3;17;3;3;4;2;0;3
Si;32;Raramente;Ventas;4;4;Salud;4;M;Ejecutivo_Ventas;4;Casado;10400;1;No;11;3;14;2;2;14;8;9;8
No;30;No_Viaja;IyD;1;1;Ciencias;3;M;Director_Manofactura;3;Soltero;8474;1;No;22;4;12;2;3;11;8;5;8
No;27;Frecuentemente;Ventas;20;3;Ciencias;4;F;Ejecutivo_Ventas;3;Soltero;9981;1;No;14;3;7;2;3;7;7;0;7
No;51;Raramente;IyD;8;4;Ciencias;2;M;Director_Investigación;2;Casado;12490;5;No;16;3;16;5;1;10;9;4;7
Si;30;Raramente;IyD;3;3;Tecnicos;4;F;Investigador_Cientifico;1;Soltero;2657;5;Si;11;3;8;5;3;5;2;0;4
No;41;Raramente;Ventas;6;3;Ciencias;4;F;Gerente;4;Soltero;13591;3;Si;18;3;16;3;3;1;0;0;0
Si;30;Frecuentemente;Ventas;26;4;Mercadeo;3;F;Ejecutivo_Ventas;1;Soltero;6696;5;No;15;3;9;5;2;6;3;0;1
Si;29;Raramente;IyD;1;3;Tecnicos;3;M;Investigador_Cientifico;3;Soltero;2058;0;No;14;3;7;1;2;6;2;1;5
No;45;No_Viaja;Ventas;6;3;Salud;4;F;Ejecutivo_Ventas;4;Soltero;8865;6;No;12;3;23;2;3;19;7;12;8
No;54;Raramente;Ventas;3;3;Mercadeo;4;F;Ejecutivo_Ventas;1;Casado;5940;2;No;14;3;16;4;3;6;2;0;5
No;36;Raramente;IyD;5;2;Ciencias;4;M;Tecnico_Laboratorio;2;Soltero;5914;8;No;16;3;16;3;4;13;11;3;7
No;33;Raramente;IyD;4;4;Salud;3;F;Investigador_Cientifico;2;Casado;2622;6;No;21;4;7;3;3;3;2;1;1
No;37;Frecuentemente;IyD;11;3;Otra;2;M;Director_Investigación;4;Divorciado;12185;1;Si;14;3;10;1;3;10;8;0;7
No;38;Raramente;Ventas;3;3;Ciencias;1;M;Ejecutivo_Ventas;3;Divorciado;10609;0;No;12;3;17;6;2;16;10;5;13
No;31;No_Viaja;IyD;1;4;Salud;3;M;Director_Manofactura;3;Casado;4345;0;No;12;3;6;2;3;5;4;1;4
No;59;Raramente;IyD;3;3;Ciencias;3;M;Investigador_Cientifico;4;Casado;2177;3;No;17;3;7;6;3;1;0;0;0
No;37;Frecuentemente;Ventas;4;4;Mercadeo;1;M;Representante_Ventas;4;Divorciado;2793;4;No;17;3;13;2;3;9;8;5;8
No;29;Frecuentemente;Ventas;1;1;Salud;2;F;Ejecutivo_Ventas;4;Casado;7918;1;No;14;3;11;5;3;11;10;4;1
No;35;Frecuentemente;Ventas;1;3;Mercadeo;3;F;Ejecutivo_Ventas;3;Soltero;8789;1;No;14;3;10;3;4;10;7;0;8
Si;29;Raramente;IyD;18;1;Salud;3;M;Investigador_Cientifico;4;Soltero;2389;1;Si;13;3;4;3;2;4;3;0;1
No;52;Raramente;IyD;2;3;Ciencias;3;F;Tecnico_Laboratorio;4;Soltero;3212;7;No;15;3;6;3;2;2;2;2;2
No;42;Raramente;IyD;4;2;Tecnicos;3;M;Gerente;4;Casado;19232;1;No;11;3;22;3;3;22;17;11;15
No;59;Raramente;RH;6;2;Salud;2;M;Recursos_Humanos;3;Casado;2267;8;No;17;3;7;2;2;2;2;2;2
No;50;Raramente;Ventas;1;4;Salud;4;F;Gerente;4;Divorciado;19517;3;No;11;3;32;3;2;7;0;0;6
Si;33;Raramente;IyD;14;3;Salud;3;M;Tecnico_Laboratorio;4;Casado;2436;5;Si;13;3;8;2;1;5;4;0;4
No;43;Raramente;Ventas;16;3;Mercadeo;4;F;Gerente;4;Casado;16064;5;Si;22;4;22;3;3;17;13;1;9
Si;33;Raramente;IyD;2;2;Ciencias;1;F;Tecnico_Laboratorio;1;Casado;2707;7;No;20;4;13;3;4;9;7;1;7
No;52;No_Viaja;Ventas;2;4;Ciencias;1;M;Gerente;3;Soltero;19068;1;Si;18;3;33;2;4;33;7;15;12
No;32;Raramente;Ventas;4;2;Ciencias;3;F;Representante_Ventas;2;Casado;3931;2;No;11;3;6;5;3;4;3;1;2
Si;32;Raramente;IyD;1;3;Ciencias;4;M;Tecnico_Laboratorio;3;Soltero;3730;0;Si;14;3;4;2;1;3;2;1;2
No;39;Raramente;IyD;1;4;Salud;3;F;Tecnico_Laboratorio;3;Divorciado;2232;7;No;14;3;7;1;3;3;2;1;2
No;32;No_Viaja;Ventas;26;4;Mercadeo;3;M;Ejecutivo_Ventas;4;Casado;4465;0;No;18;3;4;2;3;3;2;2;2
No;41;Raramente;IyD;19;2;Ciencias;3;M;Investigador_Cientifico;1;Divorciado;3072;2;No;16;3;17;2;2;1;0;0;0
No;40;Raramente;IyD;24;2;Tecnicos;1;M;Investigador_Cientifico;4;Divorciado;3319;1;No;17;3;9;3;3;9;8;4;7
No;45;Raramente;IyD;1;3;Otra;3;M;Gerente;4;Casado;19202;0;No;11;3;25;2;3;24;0;1;7
No;31;Frecuentemente;IyD;3;4;Salud;2;M;Director_Investigación;3;Divorciado;13675;9;No;12;3;9;3;3;2;2;2;2
No;33;Raramente;IyD;5;4;Ciencias;3;F;Investigador_Cientifico;4;Casado;2911;1;No;13;3;2;2;2;2;2;0;2
No;34;Raramente;IyD;2;4;Ciencias;4;M;Director_Manofactura;1;Casado;5957;6;No;13;3;13;3;3;11;9;5;9
No;37;Raramente;IyD;1;2;Salud;3;F;Investigador_Cientifico;1;Casado;3920;2;No;14;3;17;2;2;3;1;0;2
No;45;Frecuentemente;IyD;7;4;Ciencias;1;M;Director_Manofactura;3;Casado;6434;4;No;17;3;9;1;3;3;2;0;2
Si;37;Frecuentemente;IyD;10;3;Salud;1;M;Director_Manofactura;3;Divorciado;10048;6;No;11;3;17;5;3;1;0;0;0
No;39;Frecuentemente;IyD;2;4;Tecnicos;3;F;Representante_Salud;3;Soltero;10938;0;No;25;4;20;1;3;19;6;11;8
No;29;Raramente;IyD;15;3;Ciencias;3;M;Investigador_Cientifico;4;Soltero;2340;1;No;19;3;6;1;3;6;5;1;5
No;42;Raramente;IyD;17;2;Ciencias;4;F;Investigador_Cientifico;1;Soltero;6545;3;Si;13;3;10;1;3;3;2;0;2
No;29;Raramente;Ventas;20;2;Mercadeo;4;M;Ejecutivo_Ventas;4;Divorciado;6931;2;No;14;3;10;2;3;3;2;0;2
No;25;Raramente;IyD;1;3;Ciencias;1;F;Director_Manofactura;3;Casado;4898;0;No;12;3;5;3;3;4;2;1;2
No;42;Raramente;IyD;2;3;Salud;4;F;Tecnico_Laboratorio;1;Divorciado;2593;0;Si;11;3;10;4;3;9;6;7;8
No;40;Raramente;IyD;2;2;Salud;1;M;Director_Investigación;3;Divorciado;19436;0;No;19;3;22;5;3;21;7;3;9
No;51;Raramente;IyD;1;3;Ciencias;3;M;Investigador_Cientifico;4;Casado;2723;1;No;11;3;1;0;2;1;0;0;0
Si;31;Frecuentemente;IyD;29;2;Salud;3;M;Tecnico_Laboratorio;2;Soltero;3479;0;No;11;3;6;2;4;5;4;1;4
No;32;Frecuentemente;IyD;7;3;Ciencias;2;M;Tecnico_Laboratorio;2;Casado;2794;1;No;20;4;5;3;1;5;1;0;3
No;38;No_Viaja;Ventas;2;2;Ciencias;4;M;Ejecutivo_Ventas;4;Casado;5249;3;No;18;3;13;0;3;8;7;7;5
No;32;Raramente;IyD;2;1;Tecnicos;4;M;Tecnico_Laboratorio;1;Soltero;2176;4;No;13;3;9;5;3;6;2;0;4
No;46;Raramente;Ventas;2;3;Tecnicos;3;F;Gerente;2;Casado;16872;3;Si;12;3;28;2;2;7;7;7;7
Si;28;Raramente;IyD;2;4;Ciencias;1;M;Tecnico_Laboratorio;3;Soltero;3485;2;No;11;3;5;5;1;0;0;0;0
No;29;Raramente;Ventas;2;3;Salud;1;M;Ejecutivo_Ventas;2;Casado;6644;2;No;19;3;10;2;3;0;0;0;0
No;31;Raramente;IyD;23;3;Salud;2;M;Representante_Salud;4;Casado;5582;0;No;21;4;10;2;3;9;0;7;8
No;25;No_Viaja;IyD;5;2;Ciencias;2;M;Representante_Salud;1;Divorciado;4000;1;No;12;3;6;2;3;6;3;1;5
No;45;Raramente;IyD;20;2;Salud;3;M;Representante_Salud;4;Casado;13496;0;Si;14;3;21;2;3;20;7;4;10
No;36;Raramente;IyD;6;3;Ciencias;4;M;Tecnico_Laboratorio;4;Casado;3210;0;No;11;3;16;4;3;15;13;10;11
No;55;Raramente;IyD;1;3;Salud;4;M;Gerente;1;Soltero;19045;0;Si;14;3;37;2;3;36;10;4;13
Si;47;No_Viaja;IyD;29;4;Ciencias;1;M;Gerente;2;Casado;11849;1;Si;12;3;10;2;2;10;7;9;9
No;28;Raramente;IyD;9;3;Salud;4;M;Investigador_Cientifico;4;Casado;2070;1;No;23;4;5;3;2;5;2;0;4
No;37;Raramente;Ventas;6;4;Salud;3;M;Ejecutivo_Ventas;4;Casado;6502;4;No;14;3;7;5;4;5;4;0;1
No;21;Raramente;IyD;3;2;Salud;4;M;Investigador_Cientifico;3;Soltero;3230;1;No;17;3;3;4;4;3;2;1;0
No;37;No_Viaja;IyD;1;4;Salud;1;F;Director_Investigación;4;Divorciado;13603;2;Si;18;3;15;2;3;5;2;0;2
No;35;Raramente;IyD;22;3;Ciencias;2;F;Gerente;2;Divorciado;11996;7;No;18;3;10;6;2;7;7;6;2
No;38;Raramente;Ventas;7;2;Salud;1;F;Ejecutivo_Ventas;1;Divorciado;5605;1;Si;24;4;8;3;3;8;0;7;7
No;26;Frecuentemente;IyD;1;3;Ciencias;3;F;Director_Manofactura;2;Divorciado;6397;1;No;20;4;6;6;1;6;5;1;4
No;50;Raramente;IyD;4;1;Ciencias;1;M;Director_Investigación;2;Divorciado;19144;3;No;14;3;28;4;2;10;4;1;6
No;53;Raramente;IyD;3;4;Salud;3;M;Director_Investigación;3;Casado;17584;3;Si;16;3;21;5;2;5;3;1;3
No;42;Raramente;Ventas;1;1;Ciencias;2;M;Ejecutivo_Ventas;3;Casado;4907;1;No;25;4;20;3;3;20;16;11;6
No;29;Frecuentemente;Ventas;2;2;Ciencias;2;M;Ejecutivo_Ventas;4;Soltero;4554;1;No;18;3;10;3;2;10;7;0;9
No;55;Raramente;IyD;20;2;Tecnicos;2;M;Tecnico_Laboratorio;4;Casado;5415;3;Si;19;3;12;4;3;10;7;0;8
No;26;Frecuentemente;IyD;11;2;Salud;1;M;Representante_Salud;1;Casado;4741;1;Si;13;3;5;3;3;5;3;3;3
No;37;Raramente;IyD;1;3;Ciencias;4;F;Investigador_Cientifico;4;Soltero;2115;1;No;12;3;17;3;3;17;12;5;7
Si;44;Frecuentemente;IyD;24;3;Ciencias;4;M;Tecnico_Laboratorio;3;Divorciado;3161;3;Si;22;4;19;0;1;1;0;0;0
No;38;Raramente;IyD;23;4;Ciencias;4;M;Representante_Salud;4;Divorciado;5745;9;No;14;3;10;2;3;2;2;1;2
Si;26;Raramente;IyD;16;4;Salud;1;M;Tecnico_Laboratorio;2;Divorciado;2373;2;Si;13;3;5;2;3;3;2;0;2
No;28;Raramente;IyD;8;2;Ciencias;4;F;Investigador_Cientifico;4;Soltero;3310;1;No;21;4;5;3;3;5;3;0;2
No;49;Frecuentemente;IyD;10;4;Ciencias;3;F;Director_Investigación;1;Soltero;18665;9;Si;11;3;22;4;3;3;2;1;2
No;36;Raramente;IyD;3;3;Tecnicos;3;M;Investigador_Cientifico;2;Soltero;4485;4;No;12;3;10;2;3;8;0;7;7
No;31;Frecuentemente;Ventas;5;3;Mercadeo;4;F;Representante_Ventas;2;Divorciado;2789;1;No;11;3;2;5;2;2;2;2;2
Si;26;Raramente;Ventas;4;4;Mercadeo;4;M;Ejecutivo_Ventas;4;Soltero;5828;1;Si;12;3;8;0;3;8;7;7;4
No;37;Frecuentemente;IyD;9;3;Salud;2;M;Investigador_Cientifico;4;Casado;2326;1;Si;12;3;4;3;2;4;2;1;2
No;42;Frecuentemente;Ventas;26;3;Mercadeo;3;F;Ejecutivo_Ventas;2;Casado;13525;5;No;14;3;23;2;4;20;4;4;8
Si;18;Raramente;IyD;3;3;Ciencias;3;M;Tecnico_Laboratorio;3;Soltero;1420;1;No;13;3;0;2;3;0;0;0;0
No;35;Raramente;Ventas;16;3;Mercadeo;3;M;Ejecutivo_Ventas;2;Casado;8020;0;No;15;3;12;3;2;11;9;6;9
No;36;Frecuentemente;IyD;18;4;Ciencias;3;M;Tecnico_Laboratorio;4;Casado;3688;4;No;18;3;4;2;3;1;0;0;0
No;51;Raramente;IyD;2;3;Salud;4;M;Director_Manofactura;2;Divorciado;5482;5;No;18;3;13;3;3;4;1;1;2
No;41;Raramente;Ventas;2;4;Ciencias;4;M;Gerente;2;Soltero;16015;1;No;19;3;22;2;3;22;10;0;4
No;18;Raramente;Ventas;10;3;Salud;4;F;Representante_Ventas;3;Soltero;1200;1;No;12;3;0;2;3;0;0;0;0
No;28;Raramente;IyD;16;2;Salud;2;M;Representante_Salud;1;Soltero;5661;0;No;19;3;9;2;3;8;3;0;7
No;31;Raramente;Ventas;7;3;Tecnicos;2;M;Ejecutivo_Ventas;4;Casado;6929;4;No;11;3;10;3;2;8;7;7;7
No;39;Raramente;IyD;1;3;Salud;3;M;Representante_Salud;4;Divorciado;9613;0;No;17;3;19;5;2;18;10;3;7
No;36;No_Viaja;IyD;24;4;Ciencias;2;F;Tecnico_Laboratorio;2;Casado;5674;7;No;15;3;11;3;3;9;8;0;8
No;32;Raramente;Ventas;7;3;Ciencias;4;M;Ejecutivo_Ventas;3;Casado;5484;1;No;14;3;13;3;2;13;8;4;8
No;38;Raramente;IyD;25;2;Ciencias;1;F;Director_Investigación;2;Casado;12061;3;No;17;3;19;2;3;10;8;0;1
No;58;No_Viaja;IyD;1;4;Ciencias;4;M;Representante_Salud;3;Divorciado;5660;2;Si;13;3;12;2;3;5;3;1;2
No;31;Raramente;IyD;5;4;Tecnicos;3;M;Investigador_Cientifico;4;Casado;4821;0;Si;12;3;6;4;3;5;2;0;3
No;31;Raramente;RH;2;3;Humanidades;1;M;Recursos_Humanos;1;Casado;6410;3;No;12;3;9;1;3;2;2;1;0
No;45;Frecuentemente;IyD;7;3;Ciencias;1;M;Tecnico_Laboratorio;1;Divorciado;5210;1;No;18;3;24;2;3;24;9;9;11
No;31;Raramente;IyD;2;4;Ciencias;3;M;Investigador_Cientifico;4;Divorciado;2695;0;Si;18;3;3;2;1;2;2;2;2
No;33;Frecuentemente;IyD;5;4;Ciencias;4;F;Gerente;2;Casado;11878;6;No;11;3;12;2;3;10;6;8;8
No;39;Raramente;IyD;10;1;Salud;3;M;Gerente;1;Casado;17068;1;Si;14;3;21;3;3;21;9;11;10
No;43;Frecuentemente;IyD;10;4;Ciencias;3;F;Tecnico_Laboratorio;4;Soltero;2455;0;No;19;3;9;5;3;8;7;1;7
No;49;Raramente;IyD;1;2;Tecnicos;3;F;Representante_Salud;3;Soltero;13964;7;Si;12;3;25;2;3;7;1;0;7
Si;52;Raramente;IyD;8;4;Salud;3;M;Investigador_Cientifico;2;Casado;4941;2;No;15;3;11;3;2;8;2;7;7
No;27;Raramente;IyD;5;3;Ciencias;3;F;Investigador_Cientifico;2;Soltero;2478;1;Si;12;3;4;2;2;4;3;1;2
No;32;Raramente;Ventas;8;2;Tecnicos;3;F;Ejecutivo_Ventas;2;Casado;5228;1;Si;11;3;13;2;3;13;12;11;9
No;27;Raramente;Ventas;2;3;Ciencias;4;M;Ejecutivo_Ventas;3;Soltero;4478;1;Si;11;3;5;3;3;5;4;0;4
No;31;Raramente;Ventas;7;3;Mercadeo;4;M;Ejecutivo_Ventas;4;Divorciado;7547;4;No;12;3;13;3;3;7;7;1;7
No;32;Raramente;IyD;2;4;Salud;1;F;Investigador_Cientifico;4;Soltero;5055;7;No;16;3;10;0;2;7;7;0;7
Si;28;Raramente;IyD;2;4;Salud;1;M;Investigador_Cientifico;4;Casado;3464;5;Si;13;3;5;4;2;3;2;2;2
No;30;Raramente;IyD;28;2;Salud;4;F;Investigador_Cientifico;4;Casado;5775;1;No;13;3;11;2;3;10;8;1;9
No;31;Frecuentemente;IyD;7;2;Ciencias;3;F;Director_Manofactura;3;Casado;8943;1;No;24;4;10;2;3;10;9;8;9
No;39;Frecuentemente;IyD;7;2;Salud;3;M;Gerente;4;Casado;19272;1;No;15;3;21;2;3;21;9;13;3
Si;39;Raramente;Ventas;3;2;Salud;4;F;Ejecutivo_Ventas;3;Casado;5238;4;Si;18;3;12;3;2;1;0;0;0
No;33;Frecuentemente;Ventas;10;3;Mercadeo;2;M;Ejecutivo_Ventas;4;Soltero;4682;3;No;14;3;9;6;2;7;7;0;1
No;47;Raramente;IyD;5;5;Ciencias;4;M;Director_Investigación;3;Casado;18300;4;No;11;3;21;2;3;3;2;1;1
No;43;Frecuentemente;IyD;10;4;Ciencias;3;F;Tecnico_Laboratorio;3;Divorciado;5257;1;No;11;3;9;3;4;9;7;0;0
No;27;No_Viaja;Ventas;1;1;Mercadeo;3;M;Ejecutivo_Ventas;2;Casado;6349;0;Si;13;3;6;0;3;5;4;1;4
No;54;Frecuentemente;IyD;20;4;Ciencias;4;F;Investigador_Cientifico;3;Soltero;4869;3;No;12;3;20;4;2;4;3;0;3
No;43;Raramente;IyD;7;3;Ciencias;3;F;Representante_Salud;1;Casado;9985;8;No;16;3;10;1;2;1;0;0;0
No;45;Raramente;IyD;8;4;Otra;4;M;Investigador_Cientifico;4;Casado;3697;9;No;14;3;12;3;3;10;9;9;8
No;40;Raramente;Ventas;1;2;Salud;2;M;Ejecutivo_Ventas;4;Casado;7457;2;Si;22;4;6;2;2;4;3;0;2
Si;29;Raramente;IyD;8;4;Otra;2;M;Tecnico_Laboratorio;1;Casado;2119;1;Si;11;3;7;4;2;7;7;0;7
No;29;Raramente;IyD;9;5;Otra;2;M;Tecnico_Laboratorio;4;Soltero;3983;0;No;17;3;4;2;3;3;2;2;2
No;30;Raramente;Ventas;5;3;Mercadeo;4;F;Ejecutivo_Ventas;3;Divorciado;6118;1;No;13;3;10;2;3;10;9;1;2
No;27;Raramente;Ventas;8;4;Mercadeo;2;F;Ejecutivo_Ventas;2;Casado;6214;1;No;18;3;8;3;3;8;7;0;7
No;37;Raramente;IyD;5;2;Salud;4;M;Director_Manofactura;4;Divorciado;6347;7;No;16;3;8;2;2;6;2;0;4
No;38;Raramente;IyD;15;2;Ciencias;3;M;Director_Investigación;4;Divorciado;11510;0;Si;14;3;12;3;3;11;10;2;9
No;31;Raramente;IyD;7;4;Salud;3;F;Director_Manofactura;4;Soltero;7143;1;Si;14;3;11;2;2;11;9;4;10
No;29;Raramente;Ventas;10;1;Mercadeo;4;F;Ejecutivo_Ventas;2;Divorciado;8268;1;Si;14;3;7;2;3;7;7;1;7
No;35;Raramente;IyD;5;4;Tecnicos;3;M;Director_Manofactura;2;Soltero;8095;0;No;13;3;17;5;3;16;6;0;13
No;23;Raramente;IyD;26;1;Ciencias;3;M;Investigador_Cientifico;4;Divorciado;2904;1;No;12;3;4;2;2;4;2;0;2
No;41;Raramente;IyD;6;3;Salud;4;M;Director_Manofactura;2;Soltero;6032;6;Si;15;3;8;3;3;5;4;1;2
No;47;Frecuentemente;Ventas;4;1;Salud;2;M;Representante_Ventas;3;Soltero;2976;3;No;19;3;5;3;3;0;0;0;0
No;42;Raramente;IyD;23;5;Ciencias;1;F;Director_Investigación;4;Soltero;15992;2;No;14;3;16;2;3;1;0;0;0
No;29;No_Viaja;Ventas;2;3;Ciencias;4;M;Ejecutivo_Ventas;3;Casado;4649;1;No;14;3;4;3;2;4;3;0;2
No;42;Raramente;RH;2;1;Tecnicos;3;M;Recursos_Humanos;3;Divorciado;2696;0;Si;11;3;4;5;3;3;2;1;0
No;32;Raramente;IyD;2;3;Salud;3;F;Tecnico_Laboratorio;2;Casado;2370;1;No;13;3;8;4;3;8;0;0;7
No;48;Raramente;Ventas;29;1;Salud;1;F;Gerente;3;Casado;12504;3;No;21;4;15;3;1;0;0;0;0
No;37;Raramente;IyD;6;3;Salud;3;M;Investigador_Cientifico;1;Divorciado;5974;4;Si;13;3;13;2;3;7;7;6;7
No;30;No_Viaja;Ventas;25;2;Tecnicos;4;F;Ejecutivo_Ventas;3;Casado;4736;7;Si;12;3;4;2;4;2;2;2;2
No;26;Raramente;Ventas;1;3;Ciencias;3;M;Ejecutivo_Ventas;3;Casado;5296;1;No;17;3;8;3;3;8;7;7;7
No;42;Raramente;IyD;2;4;Otra;1;M;Representante_Salud;4;Soltero;6781;3;No;23;4;14;6;3;1;0;0;0
Si;21;Frecuentemente;Ventas;1;1;Tecnicos;1;F;Representante_Ventas;2;Soltero;2174;1;Si;11;3;3;3;3;3;2;1;2
No;36;No_Viaja;Ventas;1;5;Salud;4;F;Ejecutivo_Ventas;4;Soltero;6653;4;No;15;3;7;6;3;1;0;0;0
No;36;Frecuentemente;Ventas;3;4;Salud;1;M;Ejecutivo_Ventas;4;Casado;9699;4;No;11;3;16;2;3;13;9;1;12
No;57;Raramente;IyD;1;4;Salud;4;M;Representante_Salud;3;Casado;6755;2;No;11;3;15;2;3;3;2;1;2
No;40;Raramente;IyD;10;4;Ciencias;4;F;Tecnico_Laboratorio;3;Casado;2213;3;Si;13;3;10;3;3;7;7;1;7
No;21;No_Viaja;Ventas;9;2;Salud;1;M;Representante_Ventas;4;Soltero;2610;1;No;24;4;3;3;2;3;2;2;2
Si;33;Raramente;Ventas;5;3;Mercadeo;4;F;Representante_Ventas;3;Soltero;2851;1;Si;13;3;1;2;3;1;0;0;0
No;37;Raramente;IyD;10;3;Salud;3;F;Tecnico_Laboratorio;1;Casado;3452;6;No;20;4;17;3;3;5;4;0;3
No;46;No_Viaja;IyD;7;4;Salud;3;F;Director_Manofactura;3;Casado;5258;2;No;14;3;7;2;4;1;0;0;0
Si;41;Frecuentemente;Ventas;4;3;Mercadeo;1;M;Ejecutivo_Ventas;2;Soltero;9355;1;No;18;3;8;5;3;8;7;7;7
No;50;Raramente;IyD;10;3;Tecnicos;4;M;Representante_Salud;4;Soltero;10496;6;No;15;3;20;2;3;4;3;1;3
Si;40;Raramente;Ventas;22;2;Mercadeo;3;M;Ejecutivo_Ventas;3;Casado;6380;2;Si;12;3;8;6;3;6;4;1;0
No;31;Raramente;IyD;9;4;Ciencias;3;M;Investigador_Cientifico;2;Soltero;2657;0;Si;16;3;3;5;3;2;2;2;2
Si;21;Raramente;Ventas;12;3;Ciencias;3;F;Representante_Ventas;2;Soltero;2716;1;No;15;3;1;0;3;1;0;0;0
No;29;Raramente;IyD;23;3;Ciencias;4;M;Investigador_Cientifico;4;Soltero;2201;9;No;16;3;6;4;3;3;2;1;2
No;35;Raramente;IyD;9;4;Ciencias;3;M;Representante_Salud;2;Soltero;6540;9;No;19;3;10;5;3;1;1;0;0
No;27;Raramente;IyD;1;2;Salud;4;M;Tecnico_Laboratorio;2;Divorciado;3816;1;No;11;3;5;2;3;5;2;0;4
No;28;Raramente;Ventas;9;4;Ciencias;2;M;Ejecutivo_Ventas;4;Soltero;5253;1;No;16;3;7;1;3;7;5;0;7
No;49;Raramente;IyD;7;3;Otra;2;M;Representante_Salud;3;Soltero;10965;8;No;24;4;26;2;3;5;2;0;0
No;51;Raramente;Ventas;14;2;Ciencias;3;F;Ejecutivo_Ventas;4;Casado;4936;4;No;11;3;18;2;2;7;7;0;7
No;36;Raramente;IyD;2;3;Ciencias;4;F;Investigador_Cientifico;3;Casado;2543;4;No;13;3;6;3;3;2;2;2;2
Si;34;No_Viaja;Ventas;19;3;Mercadeo;1;M;Ejecutivo_Ventas;4;Soltero;5304;8;Si;13;3;9;3;2;5;2;0;4
No;55;Raramente;IyD;2;3;Ciencias;3;F;Gerente;4;Soltero;16659;2;Si;13;3;30;2;3;5;4;1;2
No;24;Raramente;Ventas;10;4;Mercadeo;4;F;Ejecutivo_Ventas;3;Divorciado;4260;1;Si;12;3;5;2;4;5;2;0;3
No;30;Raramente;Ventas;2;1;Tecnicos;3;M;Representante_Ventas;2;Casado;2476;1;No;18;3;1;3;3;1;0;0;0
Si;26;Frecuentemente;IyD;3;1;Tecnicos;3;M;Investigador_Cientifico;1;Soltero;3102;0;No;22;4;7;2;3;6;4;0;4
No;22;Raramente;IyD;11;3;Salud;1;F;Investigador_Cientifico;2;Casado;2244;1;No;13;3;2;1;3;2;1;1;2
No;36;Raramente;Ventas;2;2;Salud;2;M;Ejecutivo_Ventas;3;Casado;7596;1;No;13;3;10;2;3;10;9;9;0
Si;30;Frecuentemente;IyD;4;3;Tecnicos;3;M;Investigador_Cientifico;4;Soltero;2285;9;Si;23;4;3;4;3;1;0;0;0
No;37;Raramente;IyD;14;3;Ciencias;4;F;Tecnico_Laboratorio;1;Divorciado;3034;1;No;12;3;18;2;2;18;7;12;17
